timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648180586126,3233,HTTP Request,200,OK,Users 1-1,text,false,"DOCTYPE is disallowed when the feature ""http://apache.org/xml/features/disallow-doctype-decl"" set to true.",36266,270,5,5,https://lifecharger.org/work-from-home-5-tips/,1239,0,279
1648180586126,1239,HTTP Request-0,301,Moved Permanently,Users 1-1,text,true,,533,135,5,5,http://lifecharger.org/work-from-home-5-tips/,1239,0,279
1648180587367,1992,HTTP Request-1,200,OK,Users 1-1,text,true,,35733,135,5,5,https://lifecharger.org/work-from-home-5-tips/,1599,0,573
1648180586328,3521,HTTP Request,200,OK,Users 1-2,text,false,"DOCTYPE is disallowed when the feature ""http://apache.org/xml/features/disallow-doctype-decl"" set to true.",36266,270,4,4,https://lifecharger.org/work-from-home-5-tips/,1241,0,279
1648180586328,1241,HTTP Request-0,301,Moved Permanently,Users 1-2,text,true,,533,135,4,4,http://lifecharger.org/work-from-home-5-tips/,1241,0,279
1648180587570,2279,HTTP Request-1,200,OK,Users 1-2,text,true,,35733,135,4,4,https://lifecharger.org/work-from-home-5-tips/,1847,0,620
1648180586532,3382,HTTP Request,200,OK,Users 1-3,text,false,"DOCTYPE is disallowed when the feature ""http://apache.org/xml/features/disallow-doctype-decl"" set to true.",36266,270,3,3,https://lifecharger.org/work-from-home-5-tips/,1242,0,307
1648180586532,1242,HTTP Request-0,301,Moved Permanently,Users 1-3,text,true,,533,135,3,3,http://lifecharger.org/work-from-home-5-tips/,1242,0,307
1648180587775,2139,HTTP Request-1,200,OK,Users 1-3,text,true,,35733,135,3,3,https://lifecharger.org/work-from-home-5-tips/,1674,0,616
1648180586734,3522,HTTP Request,200,OK,Users 1-4,text,false,"DOCTYPE is disallowed when the feature ""http://apache.org/xml/features/disallow-doctype-decl"" set to true.",36266,270,2,2,https://lifecharger.org/work-from-home-5-tips/,1307,0,267
1648180586734,1307,HTTP Request-0,301,Moved Permanently,Users 1-4,text,true,,533,135,2,2,http://lifecharger.org/work-from-home-5-tips/,1307,0,267
1648180588042,2214,HTTP Request-1,200,OK,Users 1-4,text,true,,35733,135,2,2,https://lifecharger.org/work-from-home-5-tips/,1871,0,567
1648180586932,3362,HTTP Request,200,OK,Users 1-5,text,false,"DOCTYPE is disallowed when the feature ""http://apache.org/xml/features/disallow-doctype-decl"" set to true.",36271,270,1,1,https://lifecharger.org/work-from-home-5-tips/,1252,0,265
1648180586932,1252,HTTP Request-0,301,Moved Permanently,Users 1-5,text,true,,533,135,1,1,http://lifecharger.org/work-from-home-5-tips/,1252,0,265
1648180588185,2109,HTTP Request-1,200,OK,Users 1-5,text,true,,35738,135,1,1,https://lifecharger.org/work-from-home-5-tips/,1691,0,626
